id,name,balls_bowled,balls_faced,fielded
556,AC Gilchrist,1,1555,75
557,Y Venugopal Rao,222,865,14
558,VVS Laxman,0,271,5
559,A Symonds,540,781,21
560,SB Styris,222,134,3
561,AS Yadav,0,40,2
562,SB Bangar,153,58,4
563,WPUJC Vaas,288,73,1
564,RP Singh,1874,78,34
565,PP Ojha,1945,45,14
566,DPMD Jayawardene,0,1522,39
567,Kamran Akmal,0,78,9
568,Pankaj Singh,311,12,2
569,S Sohal,0,311,2
570,Mohammad Asif,199,6,0
571,VY Mahesh,359,28,6
572,Shahid Afridi,185,46,4
573,VS Yeligati,32,2,0
574,MA Khote,30,22,0
575,GC Smith,0,691,7
576,D Kalyankrishna,50,8,1
577,RR Sarwan,0,78,1
578,VRV Singh,371,3,3
579,Sohail Tanvir,265,31,6
580,A Kumble,983,49,9
581,DNT Zoysa,69,9,0
582,SD Chitnis,38,92,2
583,Shoaib Malik,58,49,6
584,TM Srivastava,0,11,4
585,B Chipli,6,256,4
586,JA Morkel,1807,712,21
587,DB Das,0,267,9
588,CRD Fernando,249,3,2
589,HH Gibbs,0,837,27
590,Gagandeep Singh,84,0,0
591,SA Asnodkar,0,352,6
592,Umar Gul,153,19,1
593,Salman Butt,0,172,2
594,BJ Hodge,238,1153,25
595,SP Fleming,0,171,2
596,S Vidyut,13,115,1
597,M Ntini,213,19,3
598,LPC Silva,6,27,4
599,DB Ravi Teja,18,325,13
600,DP Vijaykumar,159,1,0
601,Misbah-ul-Haq,0,82,1
602,YV Takawale,0,183,21
603,RR Raje,144,18,4
604,U Kaul,0,1,3
605,DT Patil,0,13,2
606,S Anirudha,0,121,12
607,L Balaji,1574,50,12
608,CK Kapugedera,17,24,4
609,A Chopra,0,75,3
610,T Taibu,0,26,1
611,J Arunkumar,0,24,0
612,SR Tendulkar,37,2044,26
613,AD Mascarenhas,310,79,2
614,TM Dilshan,275,1047,24
615,NK Patel,0,124,6
616,LA Pomersbach,0,251,8
617,Shoaib Akhtar,46,8,0
618,Younis Khan,0,7,1
619,RR Powar,443,64,5
620,PM Sarvesh Kumar,31,2,0
621,Abdur Razzak,14,2,0
622,H Das,0,5,0
623,A Nel,18,0,0
624,A Mukund,0,23,4
625,BAW Mendis,248,6,1
626,T Thushara,144,19,3
627,A Flintoff,66,57,3
628,JD Ryder,241,466,10
629,KP Pietersen,180,758,14
630,Kamran Khan,177,5,5
631,T Henderson,36,16,0
632,RS Bopara,213,468,4
633,DP Nannes,689,13,8
634,AM Salvi,156,0,2
635,YA Abdulla,222,1,0
636,VS Malik,212,7,2
637,FH Edwards,150,5,0
638,Harmeet Singh,549,12,3
639,R Bishnoi,0,17,1
640,Yashpal Singh,0,67,3
641,PC Valthaty,153,432,3
642,RJ Quiney,0,105,2
643,AS Raut,30,172,11
644,RR Bose,12,0,0
645,KP Appanna,222,4,6
646,Shoaib Ahmed,103,6,4
647,AA Bilakhia,0,88,1
648,AN Ghosh,0,8,1
649,RE van der Merwe,455,144,8
650,MN van Wyk,0,135,7
651,TL Suman,152,587,15
652,S Tyagi,220,4,3
653,GR Napier,24,16,0
654,SM Harwood,67,14,2
655,LA Carseldine,7,71,4
656,D du Preez,43,13,0
657,RJ Harris,865,112,18
658,A Singh,486,10,1
659,M Morkel,1699,93,14
660,A Mithun,312,26,8
661,C Nanda,50,1,0
662,SS Sarkar,25,0,0
