id,name,balls_bowled,balls_faced,fielded,role
618,Younis Khan,0,7,1,unknown
619,RR Powar,443,64,5,bowler
620,PM Sarvesh Kumar,31,2,0,unknown
621,Abdur Razzak,14,2,0,unknown
622,H Das,0,5,0,unknown
623,A Nel,18,0,0,unknown
624,A Mukund,0,23,4,unknown
625,BAW Mendis,248,6,1,bowler
626,T Thushara,144,19,3,bowler
627,A Flintoff,66,57,3,unknown
628,JD Ryder,241,466,10,allrounder
629,KP Pietersen,180,758,14,bowler
630,Kamran Khan,177,5,5,bowler
631,T Henderson,36,16,0,unknown
632,RS Bopara,213,468,4,allrounder
633,DP Nannes,689,13,8,bowler
634,AM Salvi,156,0,2,bowler
635,YA Abdulla,222,1,0,bowler
636,VS Malik,212,7,2,bowler
637,FH Edwards,150,5,0,bowler
638,Harmeet Singh,549,12,3,bowler
639,R Bishnoi,0,17,1,unknown
640,Yashpal Singh,0,67,3,unknown
641,PC Valthaty,153,432,3,bowler
642,RJ Quiney,0,105,2,batter
643,AS Raut,30,172,11,batter
644,RR Bose,12,0,0,unknown
645,KP Appanna,222,4,6,bowler
646,Shoaib Ahmed,103,6,4,bowler
647,AA Bilakhia,0,88,1,unknown
648,AN Ghosh,0,8,1,unknown
649,RE van der Merwe,455,144,8,bowler
650,MN van Wyk,0,135,7,batter
651,TL Suman,152,587,15,bowler
652,S Tyagi,220,4,3,bowler
653,GR Napier,24,16,0,unknown
654,SM Harwood,67,14,2,unknown
655,LA Carseldine,7,71,4,unknown
656,D du Preez,43,13,0,unknown
657,RJ Harris,865,112,18,bowler
658,A Singh,486,10,1,bowler
659,M Morkel,1699,93,14,bowler
660,A Mithun,312,26,8,bowler
661,C Nanda,50,1,0,unknown
662,SS Sarkar,25,0,0,unknown
663,J Botha,709,364,19,allrounder
664,Mashrafe Mortaza,28,2,1,unknown
665,Jaskaran Singh,111,11,0,bowler
666,GJ Bailey,0,552,17,batter
667,AB McDonald,188,103,0,bowler
668,Y Nagar,72,271,11,batter
669,CK Langeveldt,165,9,0,bowler
670,SS Shaikh,0,7,2,unknown
671,Mohammad Ashraful,0,12,2,unknown
672,RA Shaikh,6,0,0,unknown
673,Anirudh Singh,0,69,3,unknown
674,CA Pujara,0,403,6,batter
675,OA Shah,0,405,8,batter
676,SW Tait,534,26,6,bowler
677,A Uniyal,38,7,0,unknown
678,AA Jhunjhunwala,88,218,14,batter
679,P Dogra,0,141,6,batter
680,R Sathish,144,236,15,bowler
681,R McLaren,372,178,6,bowler
682,AG Murtaza,269,14,4,bowler
683,MS Bisla,0,737,30,batter
684,RS Gavaskar,6,8,0,unknown
685,JM Kemp,47,25,1,unknown
686,S Ladda,141,10,3,bowler
687,FY Fazal,12,179,7,batter
688,SE Bond,191,2,0,bowler
689,MJ Lumb,0,198,5,batter
690,DR Martyn,0,26,0,unknown
691,S Narwal,113,29,2,bowler
692,SJ Srivastava,306,5,2,bowler
693,AB Barath,0,43,0,unknown
694,AC Voges,56,143,4,batter
695,MD Mishra,0,213,1,batter
696,R Sharma,935,77,10,bowler
697,J Theron,235,13,3,bowler
698,NLTC Perera,715,326,17,allrounder
699,KB Arun Karthik,0,53,14,unknown
700,KAJ Roach,52,9,1,unknown
701,PD Collingwood,90,159,3,batter
702,C Ganapathy,6,0,0,unknown
703,MB Parmar,19,0,0,unknown
